step_id,tick,job_id,chosen_action,runner_up_action,job_priority,job_deadline,job_duration,rater_yes_no (fill in: Yes/No -- would you want this explained?)
0,1,0,assign->M0,assign->M1,2,7,3,
1,2,1,assign->M1,assign->M2,1,13,2,
2,4,2,assign->M2,assign->M3,1,10,3,
3,6,3,assign->M0,assign->M1,1,17,5,
4,7,4,assign->M1,assign->M3,3,14,2,
5,9,5,assign->M2,assign->M3,2,17,4,
6,10,6,assign->M1,assign->M3,2,14,2,
7,11,7,assign->M3,defer,2,19,6,
8,12,8,assign->M0,defer,1,22,6,
9,13,9,assign->M1,defer,2,17,6,
10,14,10,assign->M2,defer,3,26,4,
11,17,11,defer,reject,1,24,2,
12,18,11,assign->M3,defer,1,24,2,
13,20,12,assign->M0,assign->M1,2,28,3,
14,21,13,assign->M1,assign->M2,1,28,2,
15,23,14,assign->M2,assign->M3,3,29,3,
16,25,15,assign->M0,assign->M1,3,36,3,
17,29,16,assign->M0,assign->M1,1,37,5,
18,30,17,defer,assign->M1,1,42,4,
19,31,18,assign->M1,assign->M2,2,40,5,
20,32,19,assign->M2,assign->M3,1,38,6,
21,33,17,assign->M3,defer,1,42,4,
22,37,20,assign->M0,assign->M1,1,48,5,
23,38,21,assign->M1,assign->M3,1,42,3,
24,42,22,assign->M1,assign->M2,2,54,5,
25,46,23,assign->M0,assign->M2,3,50,6,
26,49,24,assign->M1,assign->M2,2,58,3,
