step_id,tick,job_id,chosen_action,runner_up_action,job_priority,job_deadline,job_duration,rater_yes_no (fill in: Yes/No -- would you want this explained?)
0,1,0,assign->M0,assign->M1,2,5,2,
1,2,1,assign->M1,assign->M2,1,14,1,
2,4,2,assign->M0,assign->M1,1,11,2,
3,6,3,assign->M1,assign->M2,1,18,4,
4,7,4,assign->M0,assign->M2,3,10,1,
5,9,5,assign->M0,assign->M2,2,14,3,
6,10,6,assign->M2,assign->M3,2,13,1,
7,11,7,assign->M1,assign->M3,2,16,3,
8,16,8,assign->M0,assign->M1,3,19,3,
9,19,9,assign->M1,assign->M2,1,27,1,
10,22,10,assign->M0,assign->M1,2,30,3,
11,23,11,assign->M1,assign->M2,2,27,3,
12,26,12,assign->M0,assign->M2,3,28,2,
13,27,13,assign->M1,assign->M2,2,32,2,
14,31,14,assign->M0,assign->M1,1,40,4,
15,32,15,assign->M1,assign->M2,1,41,2,
16,34,16,assign->M2,assign->M3,3,38,2,
17,35,17,assign->M1,assign->M3,1,47,3,
18,37,18,assign->M0,assign->M2,3,41,3,
19,38,19,assign->M2,assign->M3,1,50,4,
20,39,20,assign->M1,assign->M3,1,44,2,
21,42,21,assign->M0,assign->M1,1,52,4,
22,44,22,assign->M1,assign->M2,2,51,1,
23,46,23,assign->M1,assign->M2,3,49,3,
24,47,24,assign->M0,assign->M2,2,51,4,
25,48,25,assign->M2,assign->M3,3,51,2,
