step_id,tick,job_id,chosen_action,runner_up_action,job_priority,job_deadline,job_duration,rater_yes_no (fill in: Yes/No -- would you want this explained?)
0,1,0,assign->M0,assign->M1,2,5,3,
1,2,1,assign->M1,assign->M2,1,15,2,
2,4,2,assign->M2,assign->M3,1,12,3,
3,6,3,assign->M0,assign->M1,1,19,5,
4,7,4,assign->M1,assign->M3,3,11,2,
5,9,5,assign->M2,assign->M3,2,14,4,
6,10,6,assign->M1,assign->M3,2,13,2,
7,11,7,assign->M3,assign->M4,2,20,4,
8,17,8,assign->M0,assign->M1,3,21,4,
9,20,9,assign->M1,assign->M2,1,29,2,
10,23,10,assign->M0,assign->M1,2,31,4,
11,24,11,assign->M1,assign->M2,2,28,4,
12,27,12,assign->M2,assign->M3,3,30,3,
13,28,13,assign->M0,assign->M3,2,33,3,
14,32,14,assign->M0,assign->M1,1,42,5,
15,33,15,assign->M1,assign->M2,1,47,4,
16,34,16,assign->M2,assign->M3,2,40,5,
17,35,17,assign->M3,assign->M4,1,43,4,
18,39,18,assign->M0,assign->M1,1,52,5,
19,40,19,assign->M1,assign->M2,1,46,3,
20,44,20,assign->M1,assign->M2,2,51,5,
21,48,21,assign->M0,assign->M2,3,50,4,
22,50,22,assign->M1,assign->M2,2,56,3,
23,54,23,assign->M0,assign->M1,3,57,2,
