step_id,tick,job_id,chosen_action,runner_up_action,job_priority,job_deadline,job_duration,rater_yes_no (fill in: Yes/No -- would you want this explained?)
0,0,4,assign_job_4,assign_job_1,2,379,83,
1,1,5,assign_job_5,assign_job_3,3,528,54,
2,2,7,assign_job_7,,2,394,38,
3,3,6,assign_job_6,assign_job_8,3,661,69,
4,4,9,assign_job_9,,3,592,77,
5,55,5,assign_job_5,,3,528,43,
6,56,3,assign_job_3,assign_job_0,3,566,77,
7,73,8,assign_job_8,assign_job_2,1,373,17,
8,82,6,assign_job_6,,3,661,77,
9,84,7,assign_job_7,assign_job_1,2,394,60,
10,91,9,assign_job_9,assign_job_4,3,592,79,
11,134,0,assign_job_0,assign_job_8,2,413,21,
12,145,3,assign_job_3,assign_job_1,3,566,55,
13,156,7,assign_job_7,assign_job_8,2,394,41,
14,160,5,assign_job_5,,3,528,79,
15,170,9,assign_job_9,,3,592,43,
16,171,4,assign_job_4,assign_job_2,2,379,34,
17,198,6,assign_job_6,assign_job_8,3,661,87,
18,201,0,assign_job_0,assign_job_1,2,413,53,
19,206,7,assign_job_7,assign_job_2,2,394,24,
20,214,4,assign_job_4,,2,379,64,
21,231,2,assign_job_2,,1,355,39,
22,240,3,assign_job_3,assign_job_7,3,566,79,
23,255,5,assign_job_5,assign_job_1,3,528,92,
24,285,6,assign_job_6,,3,661,87,
25,286,9,assign_job_9,assign_job_4,3,592,75,
26,320,7,assign_job_7,assign_job_0,2,394,83,
27,347,5,assign_job_5,,3,528,62,
28,348,1,assign_job_1,,1,298,21,
29,362,4,assign_job_4,assign_job_8,2,379,19,
30,370,9,assign_job_9,,3,592,96,
31,373,3,assign_job_3,,3,566,66,
32,382,8,assign_job_8,,1,373,49,
33,404,4,assign_job_4,assign_job_0,2,379,37,
34,410,1,assign_job_1,,1,298,52,
35,442,0,assign_job_0,assign_job_8,2,413,95,
36,463,3,assign_job_3,,3,566,77,
37,467,6,assign_job_6,,3,661,93,
38,538,1,assign_job_1,assign_job_8,1,298,16,
39,541,0,assign_job_0,,2,413,55,
40,554,1,assign_job_1,,1,298,26,
41,555,8,assign_job_8,assign_job_2,1,373,25,
42,580,8,assign_job_8,,1,373,44,
43,581,1,assign_job_1,,1,298,71,
44,582,2,assign_job_2,,1,355,98,
45,596,0,assign_job_0,,2,413,34,
46,631,8,assign_job_8,,1,373,98,
47,680,2,assign_job_2,,1,355,42,
48,730,2,assign_job_2,,1,355,31,
49,761,2,assign_job_2,,1,355,12,
